	dataset	auc	type
0	colorado-capacitor	1.0	universal
0	colorado-capacitor	1.0	universal
0	colorado-capacitor	0.8	universal
0	colorado-capacitor	0.9555555555555556	universal
0	colorado-capacitor	0.8636363636363636	universal
0	colorado-capacitor	1.0	universal
0	colorado-capacitor	0.8555555555555556	universal
0	colorado-capacitor	0.9111111111111111	universal
0	colorado-capacitor	0.8777777777777778	universal
1	chemlab-beerslaw	0.78125	universal
1	chemlab-beerslaw	0.6428571428571428	universal
1	chemlab-beerslaw	0.7678571428571428	universal
1	chemlab-beerslaw	0.7559523809523809	universal
1	chemlab-beerslaw	0.7337662337662338	universal
1	chemlab-beerslaw	0.7857142857142857	universal
1	chemlab-beerslaw	0.8666666666666667	universal
1	chemlab-beerslaw	0.8181818181818181	universal
1	chemlab-beerslaw	0.6298701298701299	universal
1	chemlab-beerslaw	0.8246753246753247	universal
2	light-capacitor	0.9	universal
2	light-capacitor	0.375	universal
2	light-capacitor	0.6000000000000001	universal
2	light-capacitor	0.55	universal
2	light-capacitor	0.8	universal
2	light-capacitor	0.775	universal
2	light-capacitor	0.725	universal
2	light-capacitor	0.47500000000000003	universal
2	light-capacitor	1.0	universal
2	light-capacitor	0.5333333333333333	universal
3	light-beer	0.8333333333333334	universal
3	light-beer	0.7222222222222222	universal
3	light-beer	0.4444444444444445	universal
3	light-beer	0.6666666666666666	universal
3	light-beer	0.4444444444444445	universal
3	light-beer	0.6851851851851851	universal
3	light-beer	0.5892857142857143	universal
3	light-beer	0.39583333333333337	universal
3	light-beer	0.7916666666666667	universal
3	light-beer	0.5833333333333334	universal
4	vet-beer	0.5454545454545454	universal
4	vet-beer	0.34545454545454546	universal
4	vet-beer	0.9272727272727272	universal
4	vet-beer	0.509090909090909	universal
4	vet-beer	0.7272727272727273	universal
4	vet-beer	0.7272727272727273	universal
4	vet-beer	0.38181818181818183	universal
4	vet-beer	0.7454545454545455	universal
4	vet-beer	0.8181818181818182	universal
4	vet-beer	0.8	universal
0	colorado-capacitor	0.8787878787878788	specific
0	colorado-capacitor	0.9800000000000001	specific
0	colorado-capacitor	1.0	specific
0	colorado-capacitor	0.8777777777777778	specific
0	colorado-capacitor	0.9222222222222223	specific
0	colorado-capacitor	1.0	specific
0	colorado-capacitor	0.9888888888888888	specific
0	colorado-capacitor	1.0	specific
0	colorado-capacitor	0.9777777777777777	specific
0	colorado-capacitor	0.8333333333333334	specific
1	chemlab-beerslaw	0.6606060606060606	specific
1	chemlab-beerslaw	0.8	specific
1	chemlab-beerslaw	0.8363636363636364	specific
1	chemlab-beerslaw	0.8333333333333333	specific
1	chemlab-beerslaw	0.7467532467532467	specific
1	chemlab-beerslaw	0.8051948051948051	specific
1	chemlab-beerslaw	0.8181818181818181	specific
1	chemlab-beerslaw	0.6753246753246753	specific
1	chemlab-beerslaw	0.46103896103896097	specific
1	chemlab-beerslaw	0.6428571428571428	specific
2	light-capacitor	0.95	specific
2	light-capacitor	0.27499999999999997	specific
2	light-capacitor	0.95	specific
2	light-capacitor	0.7	specific
2	light-capacitor	0.775	specific
2	light-capacitor	0.5	specific
2	light-capacitor	0.675	specific
2	light-capacitor	0.625	specific
2	light-capacitor	0.8333333333333334	specific
2	light-capacitor	0.4666666666666667	specific
3	light-beer	0.7962962962962964	specific
3	light-beer	0.8518518518518519	specific
3	light-beer	0.462962962962963	specific
3	light-beer	0.9074074074074074	specific
3	light-beer	0.7222222222222222	specific
3	light-beer	0.6111111111111112	specific
3	light-beer	0.75	specific
3	light-beer	0.5416666666666667	specific
3	light-beer	0.9166666666666667	specific
3	light-beer	0.5833333333333334	specific
4	vet-beer	0.6181818181818182	specific
4	vet-beer	0.27272727272727276	specific
4	vet-beer	0.34545454545454546	specific
4	vet-beer	0.5454545454545454	specific
4	vet-beer	0.6181818181818183	specific
4	vet-beer	0.32727272727272727	specific
4	vet-beer	0.45454545454545453	specific
4	vet-beer	0.4727272727272728	specific
4	vet-beer	0.49090909090909096	specific
4	vet-beer	0.74	specific
